University,State,pretty name,State Abb,location name,food name,City,Type,Grad Program?,Pop (2020 Decennial Census),undergrad pop,city long,city lat,zip,uni. LONGITUDE,uni. LATITUDE,Monthly food,Appartment Mean,Appartment Min,Appartment Max,Gas,Avg spent on gas = avg miles driven / gas milage * gas cost,Avg gas/ month?,Total Cost,Monthly Cost of living + Yearly Maintencance cost,Min Cost,Max Cost
Prairie View A&M University,Texas,"Prairie View, Texas",TX,Prairie View Texas,Prairie-View-TX,Prairie View,Black,yes,8184,8444,-95.9892,30.0847,77446,-95.989,30.0924,314.1666667,1605.25,712.5,2685.5,2.99,1505.67,125.4725,2044.889167,2836.889167,1944.139167,3917.139167
University of Maryland Eastern Shore,Maryland,"Princess Anne, Maryland",MD,Princess Anne Maryland,Princess-Anne-MD,Princess Anne,Black,yes,3446,1758,-75.697,38.2054,21853-1299,-75.687,38.2074,316.7666667,1319,878,1512.5,3.29,1656.74,138.0616667,1773.828333,2565.828333,2124.828333,2759.328333
Washington State University,Washington,"Pullman, Washington",WA,Pullman Washington,Pullman-WA,Pullman,Land grant,yes,32901,23966,-117.168,46.7336,99164-5910,-117.16,46.7304,317.1783333,1123.14,542.5,1629,3.99,2009.24,167.4366667,1607.755,2399.755,1819.115,2905.615
Radford University,Virginia,"Radford, Virginia",VA,Radford Virginia,Radford-VA,Radford,Regional,yes,16070,6437,-80.5587,37.1229,24142,-80.55,37.1369,318.5,1190.8,594.5,1740,3.29,1656.74,138.0616667,1647.361667,2439.361667,1843.061667,2988.561667
Vermont State University-Randolph,Vermont,"Randolph, Vermont",VT,Randolph Vermont,Randolph-VT,Randolph,Regional,yes,2083,1177,43.9247,72.6657,5061,-72.604,43.9396,315.9,1100,1100,1100,3.24,1631.56,135.9633333,1551.863333,2343.863333,2343.863333,2343.863333
Eastern Kentucky University,Kentucky,"Richmond, Kentucky",KY,Richmond Kentucky,Richmond-KY,Richmond,Regional,yes,34585,10987,-84.2925,37.7307,40475-3102,-84.301,37.7408,312.0866667,834,600,1299,3.19,1606.38,133.865,1279.951667,2071.951667,1837.951667,2536.951667
University of Wisconsin-River Falls,Wisconsin,"River Falls, Wisconsin",WI,River Falls Wisconsin,River-Falls-WI,River Falls,Regional,yes,16182,4730,-92.6247,44.8609,54022-5001,-92.623,44.8534,321.1,1052.68,440,1450,3.29,1656.74,138.0616667,1511.841667,2303.841667,1691.161667,2701.161667
Missouri University of Science and Technology,Missouri,"Rolla, Missouri",MO,Rolla Missouri,Rolla-MO,Rolla,Regional,yes,19943,5668,-91.7607,37.9459,65409,-91.776,37.9534,318.5866667,774.67,615,1050,2.99,1505.67,125.4725,1218.729167,2010.729167,1851.059167,2286.059167
Arkansas Tech University,Arkansas,"Russellville, Arkansas",AR,Russellville Arkansas,Russellville-AR,Russellville,Regional,yes,28940,6467,-93.1383,35.2762,72801-2222,-93.136,35.2932,318.1533333,808,590,1337.5,2.99,1505.67,125.4725,1251.625833,2043.625833,1825.625833,2573.125833
Louisiana Tech University,Louisiana,"Ruston, Louisiana",LA,Ruston Louisiana,Ruston-LA,Ruston,Regional,yes,22166,7785,-92.6363,32.5328,71272,-92.65,32.5283,318.5,795,595,1220,2.69,1354.6,112.8833333,1226.383333,2018.383333,1818.383333,2443.383333
Salisbury University,Maryland,"Salisbury, Maryland",MD,Salisbury Maryland,Salisbury-MD,Salisbury,Regional,yes,33050,6455,-75.5865,38.3756,21801-6862,-75.605,38.3465,316.7666667,1319,878,1512.5,3.19,1606.38,133.865,1769.631667,2561.631667,2120.631667,2755.131667
California Polytechnic State University-San Luis Obispo,California,"San Luis Obispo, California",CA,San Luis Obispo California,San-Luis-Obispo-CA,San Luis Obispo,Regional,yes,47063,21090,-120.669,35.2669,93407,-120.66,35.2995,319.4533333,2280.83,1195,2950,5.19,2613.52,217.7933333,2818.076667,3610.076667,2524.246667,4279.246667
Texas State University,Texas,"San Marcos, Texas",TX,San Marcos Texas,San-Marcos-TX,San Marcos,Regional,yes,67553,33175,-97.9356,29.8734,78666,-97.943,29.8889,341.2066667,1347.86,945,1967,2.99,1505.67,125.4725,1814.539167,2606.539167,2203.679167,3225.679167
University of California-Santa Barbara,California,"Santa Barbara, California",CA,Santa Barbara California,Santa-Barbara-CA,Santa Barbara,Flagship,yes,88665,23081,-119.72,34.4285,93106,-119.85,34.4163,350.74,3592.83,2800,4295.5,4.43,2230.81,185.9008333,4129.470833,4921.470833,4128.640833,5624.140833
University of California-Santa Cruz,California,"Santa Cruz, California",CA,Santa Cruz California,Santa-Cruz-CA,Santa Cruz,Flagship,yes,62956,17864,-122.035,36.9789,95064-1011,-122.06,36.9956,346.4066667,3117.54,1890,4268.5,5.05,2543.02,211.9183333,3675.865,4467.865,3240.325,5618.825
Empire State University,New York,"Saratoga Springs, New York",NY,Saratoga Springs New York,Saratoga-Springs-NY,Saratoga Springs,Mix,yes,28491,7289,-73.7775,43.0674,12866-4391,-73.782,43.0773,317.2,1898.31,1300,3060,3.44,1732.28,144.3566667,2359.866667,3151.866667,2553.556667,4313.556667
Shippensburg University of Pennsylvania,Pennsylvania,"Shippensburg, Pennsylvania",PA,Shippensburg Pennsylvania,Shippensburg-PA,Shippensburg,Regional,yes,5478,4676,-77.5227,40.0484,17257-2299,-77.522,40.0579,318.0666667,1115.17,761,1592.5,3.52,1772.56,147.7133333,1580.95,2372.95,2018.78,2850.28
Slippery Rock University of Pennsylvania,Pennsylvania,"Slippery Rock, Pennsylvania",PA,Slippery Rock Pennsylvania,Slippery-Rock-PA,Slippery Rock,Regional,yes,3081,6823,-80.058,41.0695,16057-1383,-80.046,41.0627,316.3333333,770.38,405.5,1115,3.66,1843.06,153.5883333,1240.301667,2032.301667,1667.421667,2376.921667
Saint Cloud State University,Minnesota,"St. Cloud, Minnesota",MN,St. Cloud Minnesota,St.-Cloud-MN,St. Cloud,Regional,yes,68881,6054,-94.1718,45.534,56301-4498,-94.153,45.5532,323.2666667,959.05,720,1505,2.84,1430.14,119.1783333,1401.495,2193.495,1954.445,2739.445
Mississippi State University,Mississippi,"Starkville, Mississippi",MS,Starkville Mississippi,Starkville-MS,Starkville,Land grant,yes,24360,18451,-88.8297,33.4608,39762,-88.79,33.4549,318.7166667,966.62,612.5,1350,2.93,1475.46,122.955,1408.291667,2200.291667,1846.171667,2583.671667
The Pennsylvania State University,Pennsylvania,"State College, Pennsylvania",PA,State College Pennsylvania,State-College-PA,State College,Flagship,yes,40501,72229,-77.8567,40.7909,16801,-77.863,40.7965,348.3566667,1325.84,975,1755,3.69,1858.17,154.8475,1829.044167,2621.044167,2270.204167,3050.204167
Georgia Southern University,Georgia,"Statesboro, Georgia",GA,Statesboro Georgia,Statesboro-GA,Statesboro,Regional,yes,33438,22404,-81.7751,32.4375,30460-8126,-81.784,32.4262,318.0666667,1045.83,737.5,1510,3.1,1561.06,130.0883333,1493.985,2285.985,1977.655,2750.155
Tarleton State University,Texas,"Stephenville, Texas",TX,Stephenville Texas,Stephenville-TX,Stephenville,Regional,yes,20897,11666,-98.2205,32.2147,76401-0000,-98.219,32.2178,313.3,839.5,700,1102,2.99,1505.67,125.4725,1278.2725,2070.2725,1930.7725,2332.7725
University of Wisconsin-Stevens Point,Wisconsin,"Stevens Point, Wisconsin",WI,Stevens Point Wisconsin,Stevens-Point-WI,Stevens Point,Regional,yes,25666,7103,-89.5507,44.5241,54481-3897,-89.571,44.5296,321.1,998.08,596,1349,3.17,1596.31,133.0258333,1452.205833,2244.205833,1842.125833,2595.125833
Oklahoma State University,Oklahoma,"Stillwater, Oklahoma",OK,Stillwater Oklahoma,Stillwater-OK,Stillwater,Land grant,yes,48394,19841,-97.0742,36.1317,74078-1015,-97.07,36.1231,314.1666667,818.47,584.5,1250,2.89,1455.31,121.2758333,1253.9125,2045.9125,1811.9425,2477.4425
University of Connecticut,Connecticut,"Storrs, Connecticut",CT,Storrs Connecticut,Storrs-CT,Storrs,Flagship,yes,15979,18362,-72.2514,41.8083,6269,-72.25,41.8091,314.6,1565,1100,2367.5,3.29,1656.74,138.0616667,2017.661667,2809.661667,2344.661667,3612.161667
Northeastern State University,Oklahoma,"Tahlequah, Oklahoma",OK,Tahlequah Oklahoma,Tahlequah-OK,Tahlequah,Regional,yes,16209,5212,-94.977,35.9112,74464-2399,-94.967,35.9199,316.7666667,700,700,700,2.89,1455.31,121.2758333,1138.0425,1930.0425,1930.0425,1930.0425
Florida A & M University,Florida,"Tallahassee, Florida",FL,Tallahassee Florida,Tallahassee-FL,Tallahassee,Mix,yes,196169,7005,-84.2527,30.4551,32307,-84.29,30.4285,350.74,1312.06,815,2145.5,3.39,1707.1,142.2583333,1805.058333,2597.058333,2099.998333,3430.498333
Florida State University,Florida,"Tallahassee, Florida",FL,Tallahassee Florida,Tallahassee-FL,Tallahassee,Mix,yes,196169,33368,-84.2527,30.4551,32306-1037,-84.295,30.4431,350.74,1312.06,815,2145.5,3.39,1707.1,142.2583333,1805.058333,2597.058333,2099.998333,3430.498333
Indiana State University,Indiana,"Terre Haute, Indiana",IN,Terre Haute Indiana,Terre-Haute-IN,Terre Haute,Regional,yes,58389,7653,-87.3751,39.466,47809,-87.408,39.4691,317.2,831.12,587.5,1207.5,3.29,1656.74,138.0616667,1286.381667,2078.381667,1834.761667,2454.761667
Nicholls State University,Louisiana,"Thibodaux, Louisiana",LA,Thibodaux Louisiana,Thibodaux-LA,Thibodaux,Regional,yes,15948,5181,-90.8146,29.7949,70310,-90.802,29.7945,321.1,1054.04,797.5,1430,2.99,1505.67,125.4725,1500.6125,2292.6125,2036.0725,2668.5725
Troy University,Alabama,"Troy, Alabama",AL,Troy Alabama,Troy-AL,Troy,Regional,yes,17727,10916,-85.9664,31.8021,36082-0001,-85.958,31.7996,323.4833333,713.67,662.5,811,2.99,1505.67,125.4725,1162.625833,1954.625833,1903.455833,2051.955833
The University of Alabama,Alabama,"Tuscaloosa, Alabama",AL,Tuscaloosa Alabama,Tuscaloosa-AL,Tuscaloosa,Flagship,yes,227036,30725,-87.5268,33.2348,35487-0100,-87.546,33.2119,318.7166667,1118.34,465,2346.5,2.95,1485.53,123.7941667,1560.850833,2352.850833,1699.510833,3581.010833
Tuskegee University,Alabama,"Tuskegee, Alabama",AL,Tuskegee Alabama,Tuskegee-AL,Tuskegee,Black,yes,9395,2184,-85.7131,32.4409,36088-1920,-85.708,32.4309,348.9416667,1166.48,482.5,1959,3.06,1540.92,128.41,1643.831667,2435.831667,1751.851667,3228.351667
Valdosta State University,Georgia,"Valdosta, Georgia",GA,Valdosta Georgia,Valdosta-GA,Valdosta,Regional,yes,55378,8421,-83.2788,30.8502,31698,-83.289,30.8474,322.8333333,959.64,690,1350,3.19,1606.38,133.865,1416.338333,2208.338333,1938.698333,2598.698333
University of South Dakota,South Dakota,"Vermillion, South Dakota",SD,Vermillion South Dakota,Vermillion-SD,Vermillion,Flagship,yes,11695,5328,-96.9256,42.7811,57069-2390,-96.925,42.786,315.7266667,668,668,668,2.84,1430.14,119.1783333,1102.905,1894.905,1894.905,1894.905
University of Central Missouri,Missouri,"Warrensburg, Missouri",MO,Warrensburg Missouri,Warrensburg-MO,Warrensburg,Regional,yes,20313,6407,-93.726,38.7627,64093,-93.737,38.7591,318.5866667,695,695,695,3.29,1656.74,138.0616667,1151.648333,1943.648333,1943.648333,1943.648333
Southwestern Oklahoma State University,Oklahoma,"Weatherford, Oklahoma",OK,Weatherford Oklahoma,Weatherford-OK,Weatherford,Regional,yes,12076,3541,-98.6853,35.538,73096-3001,-98.708,35.5353,316.3333333,610,610,610,3.01,1515.74,126.3116667,1052.645,1844.645,1844.645,1844.645
Purdue University,Indiana,"West Lafayette, Indiana",IN,West Lafayette Indiana,West-Lafayette-IN,West Lafayette,Land grant,yes,44595,37658,-86.9238,40.4432,47907-2040,-86.914,40.4282,353.34,1382.32,845,2099,3.47,1747.38,145.615,1881.275,2673.275,2135.955,3389.955
University of Wisconsin-Whitewater,Wisconsin,"Whitewater, Wisconsin",WI,Whitewater Wisconsin,Whitewater-WI,Whitewater,Regional,yes,14889,9298,-88.7341,42.8372,53190-1790,-88.742,42.8356,317.2,1004.06,720,1450,3.34,1681.92,140.16,1461.42,2253.42,1969.36,2699.36
William & Mary,Virginia,"Williamsburg, Virginia",VA,Williamsburg Virginia,Williamsburg-VA,Williamsburg,Flagship,yes,15425,6521,-76.7076,37.2693,23187-8795,-76.708,37.2695,316.3333333,1556.42,676,2282.5,3.17,1596.31,133.0258333,2005.779167,2797.779167,1917.359167,3523.859167
Eastern Connecticut State University,Connecticut,"Willimantic, Connecticut",CT,Willimantic Connecticut,Willimantic-CT,Willimantic,Regional,yes,18149,3767,-72.2114,41.7171,6226,-72.219,41.7217,316.7666667,1746.17,1100,2437.5,3.19,1606.38,133.865,2196.801667,2988.801667,2342.631667,3680.131667
Winona State University,Minnesota,"Winona, Minnesota",MN,Winona Minnesota,Winona-MN,Winona,Mix,yes,25948,5606,-91.6684,44.0505,55987-5838,-91.644,44.0462,321.5333333,1050.38,612.5,1962.5,3.29,1656.74,138.0616667,1509.975,2301.975,1864.095,3214.095
Eastern Michigan University,Michigan,"Ypsilanti, Michigan",MI,Ypsilanti Michigan,Ypsilanti-MI,Ypsilanti,Regional,yes,20648,12344,-83.6208,42.244,48197,-83.627,42.2517,318.5,1130.15,715,1738,3.27,1646.67,137.2225,1585.8725,2377.8725,1962.7225,2985.7225
