University,State,pretty name,State Abb,location name,food name,City,Type,Grad Program?,Pop (2020 Decennial Census),undergrad pop,city long,city lat,zip,uni. LONGITUDE,uni. LATITUDE,Monthly food,Appartment Mean,Appartment Min,Appartment Max,Gas,Avg spent on gas = avg miles driven / gas milage * gas cost,Avg gas/ month?,Total Cost,Monthly Cost of living + Yearly Maintencance cost,Min Cost,Max Cost
Western Michigan University,Michigan,"Kalamazoo, Michigan",MI,Kalamazoo Michigan,Kalamazoo-MI,Kalamazoo,Regional,yes,73598,14286,-85.5882,42.2749,49008-5200,-85.614,42.2822,313.7333333,1186.93,802.5,2300,3.47,1747.38,145.615,1646.278333,2438.278333,2053.848333,3551.348333
University of Nebraska at Kearney,Nebraska,"Kearney, Nebraska",NE,Kearney Nebraska,Kearney-NE,Kearney,Regional,yes,33790,4289,-99.0833,40.7011,68849-1212,-99.099,40.7015,318.3266667,1060.58,735,1772.5,3.09,1556.03,129.6691667,1508.575833,2300.575833,1974.995833,3012.495833
Kent State University,Ohio,"Kent, Ohio",OH,Kent Ohio,Kent-OH,Kent,Regional,yes,28215,20136,-81.361,41.149,44240,-81.343,41.1467,315.9866667,1075.08,687.5,1794,3.15,1586.24,132.1866667,1523.253333,2315.253333,1927.673333,3034.173333
University of Rhode Island,Rhode Island,"Kingston, Rhode Island",RI,Kingston Rhode Island,Kingston-RI,Kingston,Flagship,yes,7825,13850,-71.5236,41.4738,2881,-71.527,41.4847,319.02,2138.79,1295,3313.5,3.14,1581.21,131.7675,2589.5775,3381.5775,2537.7875,4556.2875
Texas A&M University–Kingsville,Texas,"Kingsville, Texas",TX,Kingsville Texas,Kingsville-TX,Kingsville,Regional,yes,25402,4755,-97.861,27.5094,78363,-97.882,27.5252,317.2,784,729,885,2.87,1445.24,120.4366667,1221.636667,2013.636667,1958.636667,2114.636667
Kutztown University of Pennsylvania,Pennsylvania,"Kutztown, Pennsylvania",PA,Kutztown Pennsylvania,Kutztown-PA,Kutztown,Regional,yes,4162,6484,-75.7772,40.5212,19530-0730,-75.784,40.5136,318.0666667,1590.46,1125,2399.5,3.51,1767.52,147.2933333,2055.82,2847.82,2382.36,3656.86
University of Wisconsin-La Crosse,Wisconsin,"La Crosse, Wisconsin",WI,La Crosse Wisconsin,La-Crosse-WI,La Crosse,Regional,yes,52680,9230,-91.2268,43.8241,54601-9959,-91.232,43.8157,323.2666667,1064.78,784,1497.5,3.08,1550.99,129.2491667,1517.295833,2309.295833,2028.515833,2742.015833
University of Wyoming,Wyoming,"Laramie, Wyoming",WY,Laramie Wyoming,Laramie-WY,Laramie,Flagship,yes,31407,8700,-105.609,41.3099,82071,-105.58,41.3118,314.9466667,800,800,800,2.89,1455.31,121.2758333,1236.2225,2028.2225,2028.2225,2028.2225
New Mexico State University,New Mexico,"Las Cruces, New Mexico",NM,Las Cruces New Mexico,Las-Cruces-NM,Las Cruces,Land grant,yes,111385,4707,-106.789,32.3265,88003-8001,-106.75,32.2816,318.0666667,1109.85,725,1950,2.99,1505.67,125.4725,1553.389167,2345.389167,1960.539167,3185.539167
University of Kansas,Kansas,"Lawrence, Kansas",KS,Lawrence Kansas,Lawrence-KS,Lawrence,Flagship,yes,94934,18427,-95.2642,38.9597,66045,-95.248,38.9585,315.9866667,1052.09,690,2315,3.19,1606.38,133.865,1501.941667,2293.941667,1931.851667,3556.851667
Washington and Lee University,Virginia,"Lexington, Virginia",VA,Lexington Virginia,Lexington-VA,Lexington,Mix,yes,7320,1850,-79.4441,37.7825,24450-2116,-79.443,37.7889,318.5,1075,1075,1075,3.29,1656.74,138.0616667,1531.561667,2323.561667,2323.561667,2323.561667
University of Nebraska-Lincoln,Nebraska,"Lincoln, Nebraska",NE,Lincoln Nebraska,Lincoln-NE,Lincoln,Regional,yes,291082,19448,-96.6784,40.8099,68588-0419,-96.701,40.8176,318.3266667,1211.79,904,1807.5,3.69,1858.17,154.8475,1684.964167,2476.964167,2169.174167,3072.674167
Lock Haven University,Pennsylvania,"Lock Haven, Pennsylvania",PA,Lock Haven Pennsylvania,Lock-Haven-PA,Lock Haven,Regional,yes,8108,2361,-77.4521,41.1365,17745-2390,-77.46,41.1415,318.0666667,920,920,920,3.59,1807.81,150.6508333,1388.7175,2180.7175,2180.7175,2180.7175
Utah State University,Utah,"Logan, Utah",UT,Logan Utah,Logan-UT,Logan,Land grant,yes,52778,20516,-111.842,41.7399,84322-1400,-111.81,41.7407,311.9133333,1271.56,900,1520,3.29,1656.74,138.0616667,1721.535,2513.535,2141.975,2761.975
Western Illinois University,Illinois,"Macomb, Illinois",IL,Macomb Illinois,Macomb-IL,Macomb,Regional,yes,15051,5268,-90.6807,40.4709,61455,-90.687,40.4681,316.16,578.75,505,650,3.55,1787.67,148.9725,1043.8825,1835.8825,1762.1325,1907.1325
Dakota State University,South Dakota,"Madison, South Dakota",SD,Madison South Dakota,Madison-SD,Madison,Regional,yes,6191,1910,-97.1085,44.0062,57042-1799,-97.113,44.013,321.5333333,877.5,877.5,877.5,2.99,1505.67,125.4725,1324.505833,2116.505833,2116.505833,2116.505833
University of Wisconsin-Madison,Wisconsin,"Madison, Wisconsin",WI,Madison Wisconsin,Madison-WI,Madison,Flagship,yes,269840,33506,-89.393,43.0822,53706-1380,-89.404,43.0754,346.6666667,1796.51,1022.5,2875,3.38,1702.06,141.8383333,2285.015,3077.015,2303.005,4155.505
Kansas State University,Kansas,"Manhattan, Kansas",KS,Manhattan Kansas,Manhattan-KS,Manhattan,Land grant,yes,54100,15372,-96.6048,39.1886,66506,-96.581,39.1886,315.9866667,800.11,644,1099,2.99,1505.67,125.4725,1241.569167,2033.569167,1877.459167,2332.459167
Minnesota State University-Mankato,Minnesota,"Mankato, Minnesota",MN,Mankato Minnesota,Mankato-MN,Mankato,Regional,yes,44488,11500,-93.9772,44.1715,56001,-93.999,44.1467,323.2666667,1145.33,805,1995,3.29,1656.74,138.0616667,1606.658333,2398.658333,2058.328333,3248.328333
Northern Michigan University,Michigan,"Marquette, Michigan",MI,Marquette Michigan,Marquette-MI,Marquette,Regional,yes,20629,6330,-87.4082,46.544,49855-5301,-87.407,46.5598,318.5,1517.75,1030.5,2052.5,3.25,1636.6,136.3833333,1972.633333,2764.633333,2277.383333,3299.383333
Southwest Minnesota State University,Minnesota,"Marshall, Minnesota",MN,Marshall Minnesota,Marshall-MN,Marshall,Regional,yes,13628,1982,-95.7897,44.4488,56258-5468,-95.76,44.4537,324.5666667,833.33,725,1000,2.92,1470.42,122.535,1280.431667,2072.431667,1964.101667,2239.101667
University of Tennessee at Martin,Tennessee,"Martin, Tennessee",TN,Martin Tennessee,Martin-TN,Martin,Regional,yes,10825,4743,-88.8513,36.3385,38237,-88.864,36.3403,319.8866667,1050,1050,1050,3.19,1606.38,133.865,1503.751667,2295.751667,2295.751667,2295.751667
Northwest Missouri State University,Missouri,"Maryville, Missouri",MO,Maryville Missouri,Maryville-MO,Maryville,Regional,yes,10633,4760,-94.8702,40.3428,64468-6001,-94.883,40.3517,319.02,795,795,795,2.84,1430.14,119.1783333,1233.198333,2025.198333,2025.198333,2025.198333
University of Wisconsin-Stout,Wisconsin,"Menomonie, Wisconsin",WI,Menomonie Wisconsin,Menomonie-WI,Menomonie,Regional,yes,16843,6480,-91.9084,44.8893,54751,-91.927,44.8732,323.2666667,1158,754,1395,3.29,1656.74,138.0616667,1619.328333,2411.328333,2007.328333,2648.328333
Georgia College & State University,Georgia,"Milledgeville, Georgia",GA,Milledgeville Georgia,Milledgeville-GA,Milledgeville,Regional,yes,17070,5489,-83.2414,33.0874,31061,-83.232,33.0828,317.85,952.12,669,1409,3.05,1535.88,127.99,1397.96,2189.96,1906.84,2646.84
