University,State,pretty_name,State_Abb,location_name,food_name,City,Type,Has_Grad_Program,city_pop,undergrad_pop,city_long,city_lat,zip,uni_long,uni_lat,Monthly_food,appartment_mean_cost,Appartment_Min,Appartment_Max,Gas,gas_per_month,Car_Maintenance,Total_Cost,Min_Cost,Max_Cost
University of North Georgia,Georgia,"Dahlonega, Georgia",GA,Dahlonega Georgia,Dahlonega-GA,Dahlonega,Regional,yes,7537,16515,-83.9804,34.5311,30597,-83.986,34.5302,320.45,1648.25,883.5,2593,3.29,137.5993308,66,2172.299331,1407.549331,
University of North Texas,Texas,"Denton, Texas",TX,Denton Texas,Denton-TX,Denton,Regional,yes,139869,32590,-97.1418,33.2175,76203-1277,-97.148,33.2112,315.47,1478.78,1092.5,2053,3.05,127.5616897,66,1987.81169,1601.53169,
University of Northern Iowa,Iowa,"Cedar Falls, Iowa",IA,Cedar Falls Iowa,Cedar-Falls-IA,Cedar Falls,Regional,yes,40713,7812,-92.4536,42.5195,50614-0005,-92.46,42.5149,316.16,1062.94,712.5,1562.5,3.29,137.5993308,66,1582.699331,1232.259331,
University of Rhode Island,Rhode Island,"Kingston, Rhode Island",RI,Kingston Rhode Island,Kingston-RI,Kingston,Flagship,yes,7825,13850,-71.5236,41.4738,2881,-71.527,41.4847,319.02,2138.79,1295,3313.5,3.14,131.3258051,66,2655.135805,1811.345805,
University of South Dakota,South Dakota,"Vermillion, South Dakota",SD,Vermillion South Dakota,Vermillion-SD,Vermillion,Flagship,yes,11695,5328,-96.9256,42.7811,57069-2390,-96.925,42.786,315.73,668,668,668,2.84,118.7787537,66,1168.508754,1168.508754,
University of Southern Maine,Maine,"Gorham, Maine",ME,Gorham Maine,Gorham-ME,Gorham,Regional,yes,7469,4668,43.6619,70.2757,4103,-70.274,43.6629,313.73,2415.85,1719.5,3872.5,3.21,134.2534504,66,2929.83345,2233.48345,
University of Southern Mississippi,Mississippi,"Hattiesburg, Mississippi",MS,Hattiesburg Mississippi,Hattiesburg-MS,Hattiesburg,Regional,yes,48730,10597,-89.317,31.3074,39406-0001,-89.331,31.3266,319.8,1010.9,605,1517,2.99,125.0522794,66,1521.752279,1115.852279,
University of Tennessee at Martin,Tennessee,"Martin, Tennessee",TN,Martin Tennessee,Martin-TN,Martin,Regional,yes,10825,4743,-88.8513,36.3385,38237,-88.864,36.3403,319.89,1050,1050,1050,3.19,133.4169803,66,1569.30698,1569.30698,
University of Vermont,Vermont,"Burlington, Vermont",VT,Burlington Vermont,Burlington-VT,Burlington,Flagship,yes,44743,11081,-73.2316,44.4876,05405-0160,-73.197,44.4773,315.9,1968.55,1379,2550,3.39,141.7816813,66,2492.231681,1902.681681,
University of Virginia,Virginia,"Charlottesville, Virginia",VA,Charlottesville Virginia,Charlottesville-VA,Charlottesville,Flagship,yes,46553,17041,-78.4855,38.0375,22903-2628,-78.503,38.0357,316.33,1756.19,1036,2762.5,3.23,135.0899205,66,2273.609921,1553.419921,
University of West Georgia,Georgia,"Carrollton, Georgia",GA,Carrollton Georgia,Carrollton-GA,Carrollton,Regional,yes,26738,8572,-85.0838,33.5818,30118-0001,-85.098,33.5736,318.28,1145,787.5,1852.5,3.18,132.9987453,66,1662.278745,1304.778745,
University of Wisconsin-La Crosse,Wisconsin,"La Crosse, Wisconsin",WI,La Crosse Wisconsin,La-Crosse-WI,La Crosse,Regional,yes,52680,9230,-91.2268,43.8241,54601-9959,-91.232,43.8157,323.27,1064.78,784,1497.5,3.08,128.8163948,66,1582.866395,1302.086395,
University of Wisconsin-Madison,Wisconsin,"Madison, Wisconsin",WI,Madison Wisconsin,Madison-WI,Madison,Flagship,yes,269840,33506,-89.393,43.0822,53706-1380,-89.404,43.0754,346.67,1796.51,1022.5,2875,3.38,141.3634463,66,2350.543446,1576.533446,
University of Wisconsin-Platteville,Wisconsin,"Platteville, Wisconsin",WI,Platteville Wisconsin,Platteville-WI,Platteville,Regional,yes,11836,6124,-90.4681,42.728,53818-3099,-90.486,42.7335,318.07,821.92,649,995,3.29,137.5993308,66,1343.589331,1170.669331,
University of Wisconsin-River Falls,Wisconsin,"River Falls, Wisconsin",WI,River Falls Wisconsin,River-Falls-WI,River Falls,Regional,yes,16182,4730,-92.6247,44.8609,54022-5001,-92.623,44.8534,321.1,1052.68,440,1450,3.29,137.5993308,66,1577.379331,964.6993308,
University of Wisconsin-Stevens Point,Wisconsin,"Stevens Point, Wisconsin",WI,Stevens Point Wisconsin,Stevens-Point-WI,Stevens Point,Regional,yes,25666,7103,-89.5507,44.5241,54481-3897,-89.571,44.5296,321.1,998.08,596,1349,3.17,132.5805102,66,1517.76051,1115.68051,
University of Wisconsin-Stout,Wisconsin,"Menomonie, Wisconsin",WI,Menomonie Wisconsin,Menomonie-WI,Menomonie,Regional,yes,16843,6480,-91.9084,44.8893,54751,-91.927,44.8732,323.27,1158,754,1395,3.29,137.5993308,66,1684.869331,1280.869331,
University of Wisconsin-Whitewater,Wisconsin,"Whitewater, Wisconsin",WI,Whitewater Wisconsin,Whitewater-WI,Whitewater,Regional,yes,14889,9298,-88.7341,42.8372,53190-1790,-88.742,42.8356,317.2,1004.06,720,1450,3.34,139.6905061,66,1526.950506,1242.890506,
University of Wyoming,Wyoming,"Laramie, Wyoming",WY,Laramie Wyoming,Laramie-WY,Laramie,Flagship,yes,31407,8700,-105.609,41.3099,82071,-105.58,41.3118,314.95,800,800,800,2.89,120.8699289,66,1301.819929,1301.819929,
Utah State University,Utah,"Logan, Utah",UT,Logan Utah,Logan-UT,Logan,Land grant,yes,52778,20516,-111.842,41.7399,84322-1400,-111.81,41.7407,311.91,1271.56,900,1520,3.29,137.5993308,66,1787.069331,1415.509331,
Valdosta State University,Georgia,"Valdosta, Georgia",GA,Valdosta Georgia,Valdosta-GA,Valdosta,Regional,yes,55378,8421,-83.2788,30.8502,31698,-83.289,30.8474,322.83,959.64,690,1350,3.19,133.4169803,66,1481.88698,1212.24698,
Vermont State University-Randolph,Vermont,"Randolph, Vermont",VT,Randolph Vermont,Randolph-VT,Randolph,Regional,yes,2083,1177,43.9247,72.6657,5061,-72.604,43.9396,315.9,1100,1100,1100,3.24,135.5081556,66,1617.408156,1617.408156,
Virginia Polytechnic Institute and State University,Virginia,"Blacksburg, Virginia",VA,Blacksburg Virginia,Blacksburg-VA,Blacksburg,Land grant,yes,44826,29699,-80.4279,37.23,24061-0131,-80.424,37.229,317.2,1247.55,787.5,1740,3.29,137.5993308,66,1768.349331,1308.299331,
Washington and Lee University,Virginia,"Lexington, Virginia",VA,Lexington Virginia,Lexington-VA,Lexington,Mix,yes,7320,1850,-79.4441,37.7825,24450-2116,-79.443,37.7889,318.5,1075,1075,1075,3.29,137.5993308,66,1597.099331,1597.099331,
Washington State University,Washington,"Pullman, Washington",WA,Pullman Washington,Pullman-WA,Pullman,Land grant,yes,32901,23966,-117.168,46.7336,99164-5910,-117.16,46.7304,317.18,1123.14,542.5,1629,3.99,166.8757842,66,1673.195784,1092.555784,
Wayne State University,Michigan,"Detroit, Michigan",MI,Detroit Michigan,Detroit-MI,Detroit,Regional,yes,639111,16530,-83.1024,42.3834,48202,-83.069,42.359,317.2,1656.6,940,3387.5,3.39,141.7816813,66,2181.581681,1464.981681,
West Texas A&M University,Texas,"Canyon, Texas",TX,Canyon Texas,Canyon-TX,Canyon,Regional,yes,14836,7015,-101.919,34.9911,79016,-101.91,34.9828,315.03,648.81,500,803,2.69,112.5052279,66,1142.345228,993.5352279,
West Virginia University,West Virginia,"Morgantown, West Virginia",WV,Morgantown West Virginia,Morgantown-WV,Morgantown,Flagship,yes,30347,18878,-79.9464,39.6383,26506,-79.954,39.6344,314.17,954,532,1902.5,3.39,141.7816813,66,1475.951681,1053.951681,
Western Carolina University,North Carolina,"Cullowhee, North Carolina",NC,Cullowhee North Carolina,Cullowhee-NC,Cullowhee,Regional,yes,7682,9980,-83.1816,35.3097,28723-9646,-83.186,35.309,316.77,1207.21,595,1647.5,3.29,137.5993308,66,1727.579331,1115.369331,
Western Illinois University,Illinois,"Macomb, Illinois",IL,Macomb Illinois,Macomb-IL,Macomb,Regional,yes,15051,5268,-90.6807,40.4709,61455,-90.687,40.4681,316.16,578.75,505,650,3.55,148.4734421,66,1109.383442,1035.633442,
Western Kentucky University,Kentucky,"Bowling Green, Kentucky",KY,Bowling Green Kentucky,Bowling-Green-KY,Bowling Green,Regional,yes,72294,12526,-86.4378,36.9716,42101-1000,-86.457,36.985,313.82,971.83,645,1897.5,3.09,129.2346299,66,1480.88463,1154.05463,
Western Michigan University,Michigan,"Kalamazoo, Michigan",MI,Kalamazoo Michigan,Kalamazoo-MI,Kalamazoo,Regional,yes,73598,14286,-85.5882,42.2749,49008-5200,-85.614,42.2822,313.73,1186.93,802.5,2300,3.47,145.1275617,66,1711.787562,1327.357562,
Western Oregon University,Oregon,"Monmouth, Oregon",OR,Monmouth Oregon,Monmouth-OR,Monmouth,Regional,yes,11110,3524,-123.228,44.8505,97361-1394,-123.24,44.8522,321.51,1447.32,900,1982.5,3.49,145.9640318,66,1980.794032,1433.474032,
William & Mary,Virginia,"Williamsburg, Virginia",VA,Williamsburg Virginia,Williamsburg-VA,Williamsburg,Flagship,yes,15425,6521,-76.7076,37.2693,23187-8795,-76.708,37.2695,316.33,1556.42,676,2282.5,3.17,132.5805102,66,2071.33051,1190.91051,
Winona State University,Minnesota,"Winona, Minnesota",MN,Winona Minnesota,Winona-MN,Winona,Mix,yes,25948,5606,-91.6684,44.0505,55987-5838,-91.644,44.0462,321.53,1050.38,612.5,1962.5,3.29,137.5993308,66,1575.509331,1137.629331,
