University,State,pretty_name,State_Abb,location_name,food_name,City,Type,Has_Grad_Program,city_pop,undergrad_pop,city_long,city_lat,zip,uni_long,uni_lat,Monthly_food,appartment_mean_cost,Appartment_Min,Appartment_Max,Gas,gas_per_month,Car_Maintenance,Total_Cost,Min_Cost,Max_Cost
Henderson State University,Arkansas,"Arkadelphia, Arkansas",AR,Arkadelphia Arkansas,Arkadelphia-AR,Arkadelphia,Mix,yes,10380,2205,-93.0729,34.1253,71999-0001,-93.06,34.1282,318.15,715,715,715,2.95,123.3793392,66,1222.529339,1222.529339,
Idaho State University,Idaho,"Pocatello, Idaho",ID,Pocatello Idaho,Pocatello-ID,Pocatello,Regional,yes,56320,6842,-112.465,42.8724,83209,-112.43,42.8638,314.08,933.5,625,1370,3.22,134.6716855,66,1448.251685,1139.751685,
Indiana State University,Indiana,"Terre Haute, Indiana",IN,Terre Haute Indiana,Terre-Haute-IN,Terre Haute,Regional,yes,58389,7653,-87.3751,39.466,47809,-87.408,39.4691,317.2,831.12,587.5,1207.5,3.29,137.5993308,66,1351.919331,1108.299331,
Indiana University of Pennsylvania,Pennsylvania,"Indiana, Pennsylvania",PA,Indiana Pennsylvania,Indiana-PA,Indiana,Regional,yes,14044,6989,-79.1552,40.622,15705,-79.159,40.6175,314.17,721.6,500,798,3.69,154.3287327,66,1256.098733,1034.498733,
Indiana University-Bloomington,Indiana,"Bloomington, Indiana",IN,Bloomington Indiana,Bloomington-IN,Bloomington,Flagship,yes,79168,33995,-86.5257,39.1637,47405-7000,-86.527,39.1661,317.2,1203.44,621.5,1762,3.59,150.1463823,66,1736.786382,1154.846382,
Iowa State University,Iowa,"Ames, Iowa",IA,Ames Iowa,Ames-IA,Ames,Land grant,yes,66427,25537,-93.6217,42.0256,50011-2103,-93.649,42.0262,316.16,863.67,620,1225,3.24,135.5081556,66,1381.338156,1137.668156,
Jacksonville State University,Alabama,"Jacksonville, Alabama",AL,Jacksonville Alabama,Jacksonville-AL,Jacksonville,Regional,yes,14385,6992,-85.7545,33.8088,36265,-85.765,33.8229,320.45,804.36,459,1050,2.99,125.0522794,66,1315.862279,970.5022794,
James Madison University,Virginia,"Harrisonburg, Virginia",VA,Harrisonburg Virginia,Harrisonburg-VA,Harrisonburg,Regional,yes,51814,19743,-78.8735,38.4362,22807,-78.87,38.4363,318.5,1344.06,1067.5,1782.5,3.29,137.5993308,66,1866.159331,1589.599331,
Kansas State University,Kansas,"Manhattan, Kansas",KS,Manhattan Kansas,Manhattan-KS,Manhattan,Land grant,yes,54100,15372,-96.6048,39.1886,66506,-96.581,39.1886,315.99,800.11,644,1099,2.99,125.0522794,66,1307.152279,1151.042279,
Kent State University,Ohio,"Kent, Ohio",OH,Kent Ohio,Kent-OH,Kent,Regional,yes,28215,20136,-81.361,41.149,44240,-81.343,41.1467,315.99,1075.08,687.5,1794,3.15,131.7440402,66,1588.81404,1201.23404,
Kutztown University of Pennsylvania,Pennsylvania,"Kutztown, Pennsylvania",PA,Kutztown Pennsylvania,Kutztown-PA,Kutztown,Regional,yes,4162,6484,-75.7772,40.5212,19530-0730,-75.784,40.5136,318.07,1590.46,1125,2399.5,3.51,146.8005019,66,2121.330502,1655.870502,
Lock Haven University,Pennsylvania,"Lock Haven, Pennsylvania",PA,Lock Haven Pennsylvania,Lock-Haven-PA,Lock Haven,Regional,yes,8108,2361,-77.4521,41.1365,17745-2390,-77.46,41.1415,318.07,920,920,920,3.59,150.1463823,66,1454.216382,1454.216382,
Longwood University,Virginia,"Farmville, Virginia",VA,Farmville Virginia,Farmville-VA,Farmville,Regional,yes,7473,3200,-78.4002,37.2959,23909,-78.397,37.298,318.93,680.5,680.5,680.5,3.29,137.5993308,66,1203.029331,1203.029331,
Louisiana Tech University,Louisiana,"Ruston, Louisiana",LA,Ruston Louisiana,Ruston-LA,Ruston,Regional,yes,22166,7785,-92.6363,32.5328,71272,-92.65,32.5283,318.5,795,595,1220,2.69,112.5052279,66,1292.005228,1092.005228,
Marshall University,West Virginia,"Huntington, West Virginia",WV,Huntington West Virginia,Huntington-WV,Huntington,Regional,yes,46842,7175,-82.4345,38.4109,25755,-82.429,38.4225,313.28,916.35,550,1689.5,3.39,141.7816813,66,1437.411681,1071.061681,
Miami University,Ohio,"Oxford, Ohio",OH,Oxford Ohio,Oxford-OH,Oxford,Flagship,yes,23035,16868,-84.7446,39.5061,45056,-84.733,39.5078,314.25,1226.22,810,1961.5,3.09,129.2346299,66,1735.70463,1319.48463,
Michigan State University,Michigan,"East Lansing, Michigan",MI,East Lansing Michigan,East-Lansing-MI,East Lansing,Land grant,yes,47741,38424,-84.4836,42.748,48824-1046,-84.476,42.7321,313.73,1315.74,887.5,2805.5,3.54,148.055207,66,1843.525207,1415.285207,
Middle Tennessee State University,Tennessee,"Murfreesboro, Tennessee",TN,Murfreesboro Tennessee,Murfreesboro-TN,Murfreesboro,Regional,yes,152769,17713,-86.4121,35.849,37132,-86.361,35.848,318.59,1503.51,1027.5,2532,3.19,133.4169803,66,2021.51698,1545.50698,
Millersville University of Pennsylvania,Pennsylvania,"Millersville, Pennsylvania",PA,Millersville Pennsylvania,Millersville-PA,Millersville,Regional,yes,7903,6093,-76.3522,40.0047,17551-0302,-76.357,40.0003,318.07,1519.6,1209,2313.5,3.68,153.9104977,66,2057.580498,1746.980498,
Minnesota State University-Mankato,Minnesota,"Mankato, Minnesota",MN,Mankato Minnesota,Mankato-MN,Mankato,Regional,yes,44488,11500,-93.9772,44.1715,56001,-93.999,44.1467,323.27,1145.33,805,1995,3.29,137.5993308,66,1672.199331,1331.869331,
Mississippi State University,Mississippi,"Starkville, Mississippi",MS,Starkville Mississippi,Starkville-MS,Starkville,Land grant,yes,24360,18451,-88.8297,33.4608,39762,-88.79,33.4549,318.72,966.62,612.5,1350,2.93,122.5428691,66,1473.882869,1119.762869,
Missouri University of Science and Technology,Missouri,"Rolla, Missouri",MO,Rolla Missouri,Rolla-MO,Rolla,Regional,yes,19943,5668,-91.7607,37.9459,65409,-91.776,37.9534,318.59,774.67,615,1050,2.99,125.0522794,66,1284.312279,1124.642279,
Montana State University,Montana,"Bozeman, Montana",MT,Bozeman Montana,Bozeman-MT,Bozeman,Land grant,yes,53293,14329,-111.056,45.6833,59717,-111.05,45.6667,311.91,2018.15,1600,2432.5,3.31,138.4358009,66,2534.495801,2116.345801,
Morehead State University,Kentucky,"Morehead, Kentucky",KY,Morehead Kentucky,Morehead-KY,Morehead,Regional,yes,7151,5210,-83.4466,38.1906,40351,-83.434,38.1868,312.09,750,750,750,3.14,131.3258051,66,1259.415805,1259.415805,
New Mexico State University,New Mexico,"Las Cruces, New Mexico",NM,Las Cruces New Mexico,Las-Cruces-NM,Las Cruces,Land grant,yes,111385,4707,-106.789,32.3265,88003-8001,-106.75,32.2816,318.07,1109.85,725,1950,2.99,125.0522794,66,1618.972279,1234.122279,
Nicholls State University,Louisiana,"Thibodaux, Louisiana",LA,Thibodaux Louisiana,Thibodaux-LA,Thibodaux,Regional,yes,15948,5181,-90.8146,29.7949,70310,-90.802,29.7945,321.1,1054.04,797.5,1430,2.99,125.0522794,66,1566.192279,1309.652279,
North Carolina State University,North Carolina ,"Raleigh, North Carolina ",NC,Raleigh North Carolina,Raleigh-NC,Raleigh,Land grant,yes,"476,665","34,015",-78.6382,35.7796,27606,-78.6813,35.7851,360.9383,1551.863,1060.5,2294.5,3.19,133.4169803,66,2112.21828,1620.85528,
Northeastern State University,Oklahoma,"Tahlequah, Oklahoma",OK,Tahlequah Oklahoma,Tahlequah-OK,Tahlequah,Regional,yes,16209,5212,-94.977,35.9112,74464-2399,-94.967,35.9199,316.77,700,700,700,2.89,120.8699289,66,1203.639929,1203.639929,
Northern Arizona University,Arizona,"Flagstaff, Arizona",AZ,Flagstaff Arizona,Flagstaff-AZ,Flagstaff,Regional,yes,76831,23772,-111.619,35.1872,86011-4092,-111.65,35.1884,315.9,1977.02,1301.5,3819,3.49,145.9640318,66,2504.884032,1829.364032,
Northern Illinois University,Illinois,"DeKalb, Illinois",IL,DeKalb Illinois,DeKalb-IL,DeKalb,Regional,yes,40290,11819,-88.7481,41.9314,60115-2828,-88.766,41.9339,316.77,917.47,590,1450,3.51,146.8005019,66,1447.040502,1119.570502,
Northern Michigan University,Michigan,"Marquette, Michigan",MI,Marquette Michigan,Marquette-MI,Marquette,Regional,yes,20629,6330,-87.4082,46.544,49855-5301,-87.407,46.5598,318.5,1517.75,1030.5,2052.5,3.25,135.9263906,66,2038.176391,1550.926391,
Northwest Missouri State University,Missouri,"Maryville, Missouri",MO,Maryville Missouri,Maryville-MO,Maryville,Regional,yes,10633,4760,-94.8702,40.3428,64468-6001,-94.883,40.3517,319.02,795,795,795,2.84,118.7787537,66,1298.798754,1298.798754,
Northwestern State University,Louisiana,"Natchitoches, Louisiana",LA,Natchitoches Louisiana,Natchitoches-LA,Natchitoches,Regional,yes,18039,7513,-93.0975,31.7315,71497-0002,-93.098,31.7507,318.5,875,875,875,2.82,117.9422836,66,1377.442284,1377.442284,
Ohio State University,Ohio,"Columbus, Ohio",OH,Columbus Ohio,Columbus-OH,Columbus,,yes,"907,971","46,123",83.0305,40.0067,43210,-83.0305,40.0067,315.12,1358.61,847.5,2612.5,3.59,150.1463823,66,1889.876382,1378.766382,
Ohio University,Ohio,"Athens, Ohio",OH,Athens Ohio,Athens-OH,Athens,Flagship,yes,23849,17899,-82.0987,39.327,45701-2979,-82.101,39.3268,312.09,814.38,444,1450,3.35,140.1087411,66,1332.578741,962.1987411,
Oklahoma State University,Oklahoma,"Stillwater, Oklahoma",OK,Stillwater Oklahoma,Stillwater-OK,Stillwater,Land grant,yes,48394,19841,-97.0742,36.1317,74078-1015,-97.07,36.1231,314.17,818.47,584.5,1250,2.89,120.8699289,66,1319.509929,1085.539929,
Oregon State University,Oregon,"Corvallis, Oregon",OR,Corvallis Oregon,Corvallis-OR,Corvallis,Land grant,yes,59922,27038,-123.278,44.5698,97331,-123.27,44.564,324.98,1379.86,675,1704,3.65,152.6557926,66,1923.495793,1218.635793,
Pittsburg State University,Kansas,"Pittsburg, Kansas",KS,Pittsburg Kansas,Pittsburg-KS,Pittsburg,Regional,yes,20646,4292,-94.6985,37.4129,66762,-94.702,37.3921,315.99,686.5,475,845,2.89,120.8699289,66,1189.359929,977.8599289,
Plymouth State University,New Hampshire,"Plymouth, New Hampshire",NH,Plymouth New Hampshire,Plymouth-NH,Plymouth,Regional,yes,6682,3486,43.7615,71.6863,03264-1595,-71.69,43.7596,313.73,1740,1622.5,1857.5,3.09,129.2346299,66,2248.96463,2131.46463,
Prairie View A&M University,Texas,"Prairie View, Texas",TX,Prairie View Texas,Prairie-View-TX,Prairie View,Black,yes,8184,8444,-95.9892,30.0847,77446,-95.989,30.0924,314.17,1605.25,712.5,2685.5,2.99,125.0522794,66,2110.472279,1217.722279,
Purdue University,Indiana,"West Lafayette, Indiana",IN,West Lafayette Indiana,West-Lafayette-IN,West Lafayette,Land grant,yes,44595,37658,-86.9238,40.4432,47907-2040,-86.914,40.4282,353.34,1382.32,845,2099,3.47,145.1275617,66,1946.787562,1409.467562,
Radford University,Virginia,"Radford, Virginia",VA,Radford Virginia,Radford-VA,Radford,Regional,yes,16070,6437,-80.5587,37.1229,24142,-80.55,37.1369,318.5,1190.8,594.5,1740,3.29,137.5993308,66,1712.899331,1116.599331,
Rowan University,New Jersey,"Glassboro, New Jersey",NJ,Glassboro New Jersey,Glassboro-NJ,Glassboro,Regional,yes,23149,14925,-75.1113,39.7014,8028,-75.119,39.7091,320.23,1997.67,899,4082.5,3.03,126.7252196,66,2510.62522,1411.95522,
Saint Cloud State University,Minnesota,"St. Cloud, Minnesota",MN,St. Cloud Minnesota,St.-Cloud-MN,St. Cloud,Regional,yes,68881,6054,-94.1718,45.534,56301-4498,-94.153,45.5532,323.27,959.05,720,1505,2.84,118.7787537,66,1467.098754,1228.048754,
Salisbury University,Maryland,"Salisbury, Maryland",MD,Salisbury Maryland,Salisbury-MD,Salisbury,Regional,yes,33050,6455,-75.5865,38.3756,21801-6862,-75.605,38.3465,316.77,1319,878,1512.5,3.19,133.4169803,66,1835.18698,1394.18698,
Sam Houston State University,Texas,"Huntsville, Texas",TX,Huntsville Texas,Huntsville-TX,Huntsville,Regional,yes,45941,18288,-95.5567,30.7009,77340,-95.546,30.7147,315.47,934.12,485,1409,2.71,113.341698,66,1428.931698,979.811698,
Shippensburg University of Pennsylvania,Pennsylvania,"Shippensburg, Pennsylvania",PA,Shippensburg Pennsylvania,Shippensburg-PA,Shippensburg,Regional,yes,5478,4676,-77.5227,40.0484,17257-2299,-77.522,40.0579,318.07,1115.17,761,1592.5,3.52,147.2187369,66,1646.458737,1292.288737,
Slippery Rock University of Pennsylvania,Pennsylvania,"Slippery Rock, Pennsylvania",PA,Slippery Rock Pennsylvania,Slippery-Rock-PA,Slippery Rock,Regional,yes,3081,6823,-80.058,41.0695,16057-1383,-80.046,41.0627,316.33,770.38,405.5,1115,3.66,153.0740276,66,1305.784028,940.9040276,
South Carolina State University,South Carolina,"Orangeburg, South Carolina",SC,Orangeburg South Carolina,Orangeburg-SC,Orangeburg,Black,yes,13240,2063,-80.8671,33.4928,29117-0001,-80.849,33.498,317.2,962.5,825,1100,2.99,125.0522794,66,1470.752279,1333.252279,
South Dakota State University,South Dakota,"Brookings, South Dakota",SD,Brookings South Dakota,Brookings-SD,Brookings,Land grant,yes,23377,8651,-96.7859,44.3022,57007-1898,-96.782,44.3175,321.53,1128.62,943,1260,2.92,122.124634,66,1638.274634,1452.654634,
Southeast Missouri State University,Missouri,"Cape Girardeau, Missouri",MO,Cape Girardeau Missouri,Cape-Girardeau-MO,Cape Girardeau,Regional,yes,39540,7306,-89.5597,37.3109,63701,-89.531,37.3111,316.42,686.5,686.5,686.5,3.19,133.4169803,66,1202.33698,1202.33698,
Southeastern Louisiana University,Louisiana,"Hammond, Louisiana",LA,Hammond Louisiana,Hammond-LA,Hammond,Regional,yes,19584,10106,-90.4563,30.5061,70402,-90.469,30.5147,316.77,944.88,600,1585,2.93,122.5428691,66,1450.192869,1105.312869,
Southeastern Oklahoma State University,Oklahoma,"Durant, Oklahoma",OK,Durant Oklahoma,Durant-OK,Durant,Regional,yes,18589,2832,-96.3923,33.9949,74701-3347,-96.377,34.0068,315.9,870,645,1095,2.92,122.124634,66,1374.024634,1149.024634,
Southern Illinois University-Carbondale,Illinois,"Carbondale, Illinois",IL,Carbondale Illinois,Carbondale-IL,Carbondale,Regional,yes,21857,7973,-89.2237,37.7221,62901-4512,-89.217,37.7142,316.85,651.47,387.5,1214,3.49,145.9640318,66,1180.284032,916.3140318,
Southern Illinois University-Edwardsville,Illinois,"Edwardsville, Illinois",IL,Edwardsville Illinois,Edwardsville-IL,Edwardsville,Regional,yes,26808,9903,-89.9874,38.7922,62026-1259,-89.998,38.7939,318.07,1588.37,675,3107,3.69,154.3287327,66,2126.768733,1213.398733,
Southern Oregon University,Oregon,"Ashland, Oregon",OR,Ashland Oregon,Ashland-OR,Ashland,Regional,yes,21360,3208,-122.699,42.1905,97520,-122.7,42.1851,321.51,1575,1050,2100,3.89,162.6934337,66,2125.203434,1600.203434,
Southern Utah University,Utah,"Cedar City, Utah",UT,Cedar City Utah,Cedar-City-UT,Cedar City,Regional,yes,35235,9297,-113.096,37.6834,84720,-113.07,37.6746,316.25,1042.5,990,1095,3.19,133.4169803,66,1558.16698,1505.66698,
Southwest Minnesota State University,Minnesota,"Marshall, Minnesota",MN,Marshall Minnesota,Marshall-MN,Marshall,Regional,yes,13628,1982,-95.7897,44.4488,56258-5468,-95.76,44.4537,324.57,833.33,725,1000,2.92,122.124634,66,1346.024634,1237.694634,
Southwestern Oklahoma State University,Oklahoma,"Weatherford, Oklahoma",OK,Weatherford Oklahoma,Weatherford-OK,Weatherford,Regional,yes,12076,3541,-98.6853,35.538,73096-3001,-98.708,35.5353,316.33,610,610,610,3.01,125.8887495,66,1118.218749,1118.218749,
Stephen F. Austin State University,Texas,"Nacogdoches, Texas",TX,Nacogdoches Texas,Nacogdoches-TX,Nacogdoches,Regional,yes,32147,9515,-94.6528,31.6134,75965,-94.649,31.6211,318.93,775.72,654,1075,2.77,115.8511083,66,1276.501108,1154.781108,
Sul Ross State University,Texas,"Alpine, Texas",TX,Alpine Texas,Alpine-TX,Alpine,Regional,yes,6035,1603,-103.665,30.364,79832,-103.65,30.3631,316.16,675,675,675,3.15,131.7440402,66,1188.90404,1188.90404,
SUNY at Fredonia,New York,"Fredonia, New York",NY,Fredonia New York,Fredonia-NY,Fredonia,Regional,yes,9585,3540,-79.3319,42.4407,14063-1136,-79.337,42.4522,311.13,794.25,788.5,800,3.49,145.9640318,66,1317.344032,1311.594032,
SUNY Brockport,New York,"Brockport, New York",NY,Brockport New York,Brockport-NY,Brockport,Regional,yes,7104,5668,-77.9404,43.2137,14420-2919,-77.947,43.2119,316.77,1489.76,650,2414,3.32,138.854036,66,2011.384036,1171.624036,
SUNY College of Technology at Alfred,New York,"Alfred, New York",NY,Alfred New York,Alfred-NY,Alfred,Mix,yes,4896,3400,42.2552,77.7947,14802,-77.795,42.2553,314.6,1068.38,700,1414,3.39,141.7816813,66,1590.761681,1222.381681,
SUNY College of Technology at Delhi,New York,"Delhi, New York",NY,Delhi New York,Delhi-NY,Delhi,Regional,yes,4795,2486,42.2781,74.916,13753-1100,-74.925,42.2699,315.9,860.17,750,952.5,3.25,135.9263906,66,1377.996391,1267.826391,
SUNY Cortland,New York,"Cortland, New York",NY,Cortland New York,Cortland-NY,Cortland,Regional,yes,17556,5974,-76.1784,42.6004,13045-0900,-76.189,42.598,316.77,2018.27,885,9112.5,3.28,137.1810958,66,2538.221096,1404.951096,
SUNY Geneseo,New York,"Geneseo, New York",NY,Geneseo New York,Geneseo-NY,Geneseo,Regional,yes,10483,4450,42.796,77.8239,14454-1465,-77.822,42.7966,316.77,1690.82,799,4052.5,3.41,142.6181514,66,2216.208151,1324.388151,
SUNY New Paltz,New York,"New Paltz, New York",NY,New Paltz New York,New-Paltz-NY,New Paltz,Regional,yes,14407,6142,41.7386,74.0852,12561-2443,-74.082,41.7409,315.03,1853.96,1124,3090,3.14,131.3258051,66,2366.315805,1636.355805,
SUNY Oneonta,New York,"Oneonta, New York",NY,Oneonta New York,Oneonta-NY,Oneonta,Mix,yes,13079,5374,-75.0666,42.4551,13820-4015,-75.064,42.4689,314.6,781,781,781,3.36,140.5269762,66,1302.126976,1302.126976,
SUNY Oswego,New York,"Oswego, New York",NY,Oswego New York,Oswego-NY,Oswego,Regional,yes,16921,6095,-76.5005,43.4516,13126,-76.541,43.4543,314.6,1455,1075,1835,3.45,144.2910916,66,1979.891092,1599.891092,
SUNY Plattsburgh,New York,"Plattsburgh, New York",NY,Plattsburgh New York,Plattsburgh-NY,Plattsburgh,Regional,yes,19841,4286,-73.4563,44.6951,12901-2681,-73.467,44.6929,318.07,1873.5,850,2550,3.19,133.4169803,66,2390.98698,1367.48698,
SUNY Potsdam,New York,"Potsdam, New York",NY,Potsdam New York,Potsdam-NY,Potsdam,Mix,yes,14901,2346,44.6615,74.973,13676-2294,-74.974,44.6621,318.07,1124.75,910,1275,3.54,148.055207,66,1656.875207,1442.125207,
Tennessee Technological University,Tennessee,"Cookeville, Tennessee",TN,Cookeville Tennessee,Cookeville-TN,Cookeville,Regional,yes,34842,8186,-85.5109,36.1482,38505-0001,-85.504,36.1748,318.59,945.25,640,1260,2.96,123.7975742,66,1453.637574,1148.387574,
Texas A&M University,Texas,"College Station, Texas",TX,College Station Texas,College-Station-TX,College Station,Land grant,yes,120511,56006,-96.2959,30.5852,77843,-96.336,30.6187,313.3,1238.1,749,1964,3.09,129.2346299,66,1746.63463,1257.53463,
Texas A&M University–Commerce,Texas,"Commerce, Texas",TX,Commerce Texas,Commerce-TX,Commerce,Regional,yes,9090,7517,-95.8992,33.2421,75428,-95.905,33.2421,313.73,1055.06,712.5,1972.5,2.93,122.5428691,66,1557.332869,1214.772869,
Texas A&M University–Kingsville,Texas,"Kingsville, Texas",TX,Kingsville Texas,Kingsville-TX,Kingsville,Regional,yes,25402,4755,-97.861,27.5094,78363,-97.882,27.5252,317.2,784,729,885,2.87,120.0334588,66,1287.233459,1232.233459,
Texas State University,Texas,"San Marcos, Texas",TX,San Marcos Texas,San-Marcos-TX,San Marcos,Regional,yes,67553,33175,-97.9356,29.8734,78666,-97.943,29.8889,341.21,1347.86,945,1967,2.99,125.0522794,66,1880.122279,1477.262279,
The Pennsylvania State University,Pennsylvania,"State College, Pennsylvania",PA,State College Pennsylvania,State-College-PA,State College,Flagship,yes,40501,72229,-77.8567,40.7909,16801,-77.863,40.7965,348.36,1325.84,975,1755,3.69,154.3287327,66,1894.528733,1543.688733,
The Pennsylvania State University,Pennsylvania,"State College, Pennsylvania",PA,State College Pennsylvania,State College-PA,State College,,yes,"40,745","46,000",-82.9988,39.9612,16801,-77.8599,40.7982,313.95,1301,975,1755,3.89,162.6934337,66,1843.643434,1517.643434,
The University of Alabama,Alabama,"Tuscaloosa, Alabama",AL,Tuscaloosa Alabama,Tuscaloosa-AL,Tuscaloosa,Flagship,yes,227036,30725,-87.5268,33.2348,35487-0100,-87.546,33.2119,318.72,1118.34,465,2346.5,2.95,123.3793392,66,1626.439339,973.0993392,
The University of Montana,Montana,"Missoula, Montana",MT,Missoula Montana,Missoula-MT,Missoula,Flagship,yes,73489,7026,-114.021,46.8751,59812,-113.98,46.8593,310.83,1878.71,1200,3527.5,3.39,141.7816813,66,2397.321681,1718.611681,
The University of Oklahoma,Oklahoma,"Norman, Oklahoma",OK,Norman Oklahoma,Norman-OK,Norman,Flagship,yes,128026,20800,-97.3471,35.2335,73019,-97.444,35.2094,314.17,949.56,600,2495,2.89,120.8699289,66,1450.599929,1101.039929,
Troy University,Alabama,"Troy, Alabama",AL,Troy Alabama,Troy-AL,Troy,Regional,yes,17727,10916,-85.9664,31.8021,36082-0001,-85.958,31.7996,323.48,713.67,662.5,811,2.99,125.0522794,66,1228.202279,1177.032279,
Tuskegee University,Alabama,"Tuskegee, Alabama",AL,Tuskegee Alabama,Tuskegee-AL,Tuskegee,Black,yes,9395,2184,-85.7131,32.4409,36088-1920,-85.708,32.4309,348.94,1166.48,482.5,1959,3.06,127.9799247,66,1709.399925,1025.419925,
University of Alaska Fairbanks,Alaska,"Fairbanks, Alaska",AK,Fairbanks Alaska,Fairbanks-AK,Fairbanks,Land grant,yes,32515,4108,-147.653,64.8353,99775,-147.82,64.8576,316.16,1367.12,1298,1406.5,3.69,154.3287327,66,1903.608733,1834.488733,
University of Arkansas,Arkansas,"Fayetteville, Arkansas",AR,Fayetteville Arkansas,Fayetteville-AR,Fayetteville,Flagship,yes,93949,24001,-94.1661,36.0714,72701,-94.177,36.07,318.15,1121.73,710,1828,3.03,126.7252196,66,1632.60522,1220.87522,
University of Arkansas at Monticello,Arkansas,"Monticello, Arkansas",AR,Monticello Arkansas,Monticello-AR,Monticello,Regional,yes,8442,1946,-91.7934,33.6257,71656,-91.811,33.5909,322.49,700,700,700,2.95,123.3793392,66,1211.869339,1211.869339,
University of California-Davis,California,"Davis, California",CA,Davis California,Davis-CA,Davis,Land grant,yes,66850,31637,-121.737,38.5553,95616-8678,-121.75,38.5397,326.6,2022.99,1325,2522.5,4.49,187.7875366,66,2603.377537,1905.387537,
University of California-Santa Barbara,California,"Santa Barbara, California",CA,Santa Barbara California,Santa-Barbara-CA,Santa Barbara,Flagship,yes,88665,23081,-119.72,34.4285,93106,-119.85,34.4163,350.74,3592.83,2800,4295.5,4.43,185.2781263,66,4194.848126,3402.018126,
University of California-Santa Cruz,California,"Santa Cruz, California",CA,Santa Cruz California,Santa-Cruz-CA,Santa Cruz,Flagship,yes,62956,17864,-122.035,36.9789,95064-1011,-122.06,36.9956,346.41,3117.54,1890,4268.5,5.05,211.2086993,66,3741.158699,2513.618699,
University of Central Arkansas,Arkansas,"Conway, Arkansas",AR,Conway Arkansas,Conway-AR,Conway,Regional,yes,64134,7763,-92.4692,35.0753,72035-0001,-92.458,35.0779,318.15,873.57,605,2075.5,2.95,123.3793392,66,1381.099339,1112.529339,
University of Central Missouri,Missouri,"Warrensburg, Missouri",MO,Warrensburg Missouri,Warrensburg-MO,Warrensburg,Regional,yes,20313,6407,-93.726,38.7627,64093,-93.737,38.7591,318.59,695,695,695,3.29,137.5993308,66,1217.189331,1217.189331,
University of Central Oklahoma,Oklahoma,"Edmond, Oklahoma",OK,Edmond Oklahoma,Edmond-OK,Edmond,Regional,yes,94428,11420,-97.416,35.6689,73034,-97.472,35.6552,314.17,1051.68,722.5,2625,2.87,120.0334588,66,1551.883459,1222.703459,
University of Colorado Boulder,Colorado,"Boulder, Colorado",CO,Boulder Colorado,Boulder-CO,Boulder,Flagship,yes,108250,30414,-105.252,40.0248,80309-0017,-105.27,40.0088,312.78,2314.68,1334.5,5884,2.99,125.0522794,66,2818.512279,1838.332279,
University of Connecticut,Connecticut,"Storrs, Connecticut",CT,Storrs Connecticut,Storrs-CT,Storrs,Flagship,yes,15979,18362,-72.2514,41.8083,6269,-72.25,41.8091,314.6,1565,1100,2367.5,3.29,137.5993308,66,2083.199331,1618.199331,
University of Delaware,Delaware,"Newark, Delaware",DE,Newark Delaware,Newark-DE,Newark,Flagship,yes,30601,18707,-75.7576,39.6776,19716,-75.753,39.6796,318.07,1611.05,1135,3090,3.35,140.1087411,66,2135.228741,1659.178741,
University of Florida,Florida,"Gainesville, Florida",FL,Gainesville Florida,Gainesville-FL,Gainesville,Flagship,yes,141085,34044,-82.3459,29.6804,32611,-82.348,29.6463,316.77,1443.26,942.5,2068,3.39,141.7816813,66,1967.811681,1467.051681,
University of Georgia,Georgia,"Athens, Georgia",GA,Athens Georgia,Athens-GA,Athens,Flagship,yes,96124,30032,-83.3689,33.9508,30602,-83.374,33.9563,315.9,1450.77,775,2609,3.14,131.3258051,66,1963.995805,1288.225805,
